FID,id,gna,nam,fna,línea,caa,progresiva,fuente,geom,long,lat
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_710b,125,Estación,Ricardo Levene,Estación Ricardo Levene,Roca,SOFSE,58.781,Operador,POINT (-58.72976604122963 -35.02712717883035),-58.72976604,-35.02712718
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_710c,126,Estación,Luis Guillón,Estación Luis Guillón,Roca,SOFSE,23.523,Operador,POINT (-58.44864060803634 -34.803305238859295),-58.44864061,-34.80330524
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_710d,104,Estación,Soldati,Estación Soldati,Belgrano Sur,SOFSE,5.733,Operador,POINT (-58.44093678348836 -34.6622176205901),-58.44093678,-34.66221762
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_710e,106,Estación,Lugano,Estación Lugano,Belgrano Sur,SOFSE,9.55,Operador,POINT (-58.477064215511334 -34.67723486260167),-58.47706422,-34.67723486
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_710f,107,Estación,Villa Madero,Estación Villa Madero,Belgrano Sur,SOFSE,11.157,Operador,POINT (-58.492399830430266 -34.68406594249928),-58.49239983,-34.68406594
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7110,108,Estación,M. Fournier,Estación M. Fournier,Belgrano Sur,SOFSE,12.695,Operador,POINT (-58.50756427141431 -34.690200990271286),-58.50756427,-34.69020099
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7111,202,Estación,J. Ingenieros,Estación J. Ingenieros,Belgrano Sur,SOFSE,15.68,Operador,POINT (-58.53723458464277 -34.71073701962289),-58.53723458,-34.71073702
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7112,203,Estación,J. Villegas,Estación J. Villegas,Belgrano Sur,SOFSE,17.044,Operador,POINT (-58.551838529390686 -34.70896291566924),-58.55183853,-34.70896292
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7113,204,Estación,Palermo,Estación Palermo,San Martín,SOFSE,6.343,Operador,POINT (-58.426704414848736 -34.579073087424526),-58.42670441,-34.57907309
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7114,2,Estación,San Andres,Estación San Andres,Mitre,SOFSE,17.925,Operador,POINT (-58.54055175334619 -34.56367974026541),-58.54055175,-34.56367974
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7115,82,Estación,Gowland,Estación Gowland,Sarmiento,SOFSE,90.88,Operador,POINT (-59.352756295352506 -34.647825621989355),-59.3527563,-34.64782562
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7116,111,Estación,Tapiales,Estación Tapiales,Belgrano Sur,SOFSE,14.671,Operador,POINT (-58.511643441255984 -34.70237465547931),-58.51164344,-34.70237466
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7117,148,Estación,Hospital Español,Estación Hospital Español,Roca,SOFSE,41.987,Operador,POINT (-58.40728701116117 -34.78626739697275),-58.40728701,-34.7862674
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7118,152,Estación,Ing. Pablo Marín,Estación Ing. Pablo Marín,Sarmiento,SOFSE,46.04,Operador,POINT (-58.89347422729393 -34.622748149603794),-58.89347423,-34.62274815
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7119,154,Estación,Juan XXIII,Estación Juan XXIII,Roca,SOFSE,37.931,Operador,POINT (-58.444226870800755 -34.771191269006074),-58.44422687,-34.77119127
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_711a,155,Estación,Sourigues,Estación Sourigues,Roca,SOFSE,29.585,Operador,POINT (-58.21396573295371 -34.80884421243672),-58.21396573,-34.80884421
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_711b,156,Estación,Villa España,Estación Villa España,Roca,SOFSE,25.582,Operador,POINT (-58.194863812794146 -34.77421844915255),-58.19486381,-34.77421845
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_711c,157,Estación,Tolosa,Estación Tolosa,Roca,SOFSE,50.555,Operador,POINT (-57.967995089432584 -34.89088366221698),-57.96799509,-34.89088366
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_711d,114,Estación,Ing. Querandi,Estación Ing. Querandi,Belgrano Sur,SOFSE,18.455,Operador,POINT (-58.53047922892854 -34.722290963515405),-58.53047923,-34.72229096
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_711e,115,Estación,Laferrere,Estación Laferrere,Belgrano Sur,SOFSE,24.301,Operador,POINT (-58.584342006125226 -34.75066618609727),-58.58434201,-34.75066619
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_711f,116,Estación,M. E. Duarte,Estación M. E. Duarte,Belgrano Sur,SOFSE,25.925,Operador,POINT (-58.600471399503206 -34.756006330925366),-58.6004714,-34.75600633
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7120,215,Estación,Saenz Peña,Estación Saenz Peña,FFCC San Martín,SOFSE,16.378,Operador,POINT (-58.52795383507418 -34.60312741156937),-58.52795384,-34.60312741
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7121,117,Estación,G. Catán,Estación G. Catán,Belgrano Sur,SOFSE,30.53,Operador,POINT (-58.646744966247894 -34.77160939075209),-58.64674497,-34.77160939
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7122,139,Estación,Santa Sofía,Estación Santa Sofía,Roca,SOFSE,35.248,Operador,POINT (-58.2137229126673 -34.82496170950153),-58.21372291,-34.82496171
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7123,159,Estación,City Bell,Estación City Bell,Roca,SOFSE,42.886,Operador,POINT (-58.042174196951166 -34.865830989977795),-58.0421742,-34.86583099
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7124,205,Estación,I. Casanova,Estación I. Casanova,Belgrano Sur,SOFSE,20.318,Operador,POINT (-58.58743800067037 -34.70451248601488),-58.587438,-34.70451249
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7125,207,Estación,R. Castillo,Estación R. Castillo,Belgrano Sur,SOFSE,23.919,Operador,POINT (-58.62628961857171 -34.69964898542534),-58.62628962,-34.69964899
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7126,209,Estación,M. Gomez,Estación M. Gomez,Belgrano Sur,SOFSE,25.865,Operador,POINT (-58.64749283317655 -34.69698430722964),-58.64749283,-34.69698431
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7127,211,Estación,Libertad,Estación Libertad,Belgrano Sur,SOFSE,29.512,Operador,POINT (-58.68649716586225 -34.69210468511373),-58.68649717,-34.69210469
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7128,212,Estación,M. C. Gral. Belgrano,Estación M. C. Gral. Belgrano,Belgrano Sur,SOFSE,33.995,Operador,POINT (-58.73090930695625 -34.70876301374771),-58.73090931,-34.70876301
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7129,213,Estación,Villa del Parque,Estación Villa del Parque,San Martín,SOFSE,13.275,Operador,POINT (-58.49476035011107 -34.60137505896632),-58.49476035,-34.60137506
